err_2d_0,err_2d_1,err_2d_2,err_2d_3,err_2d_4,err_2d_5,err_3d_0,err_3d_1,err_3d_2,err_3d_3,err_3d_4,err_3d_5,err_x_0,err_x_1,err_x_2,err_x_3,err_x_4,err_x_5,err_y_0,err_y_1,err_y_2,err_y_3,err_y_4,err_y_5,err_z_0,err_z_1,err_z_2,err_z_3,err_z_4,err_z_5,gain_2d_0,gain_2d_1,gain_2d_2,gain_2d_3,gain_2d_4,gain_2d_5,gain_3d_0,gain_3d_1,gain_3d_2,gain_3d_3,gain_3d_4,gain_3d_5,noise_sigma,outlier
2.4665318,1.2985206,0.7495088,0.5943551,0.5626095,0.5541672,0.01585448,0.008626056,0.0051413234,0.004370321,0.004161073,0.004076698,0.0045436295,0.0024741455,0.0015896413,0.0012692327,0.0012151374,0.0012036567,0.0055571673,0.002995779,0.0016097322,0.0012870991,0.0012192271,0.0012011881,0.012252256,0.0066351206,0.0040091597,0.0035072742,0.0033454404,0.0032627657,196.1814319260142,197.34944324047333,197.89845507354133,198.05360872528172,198.08535436645738,198.0937966374404,0.846607648029038,0.8538360711537992,0.8573208036064337,0.8580918057837574,0.8583010542770666,0.8583854290488984,0.0,0.1
2.4428408,1.3022223,0.7531173,0.6017659,0.56403357,0.55343264,0.015900899,0.008655627,0.005073638,0.004325841,0.0040910644,0.0040193996,0.004498462,0.0024769339,0.0015979254,0.0012871568,0.0012226446,0.0012001238,0.005492386,0.002998045,0.0016222105,0.0012950005,0.0012148921,0.0011990702,0.012356711,0.006659155,0.0039176056,0.003431659,0.0032557843,0.00319597,196.28991061594405,197.43052934174307,197.9796342723786,198.1309856846339,198.1687180005207,198.17931890513816,0.8466142894763868,0.8538595601519007,0.8574415492114456,0.8581893459261298,0.8584241226395204,0.8584957874473437,0.002,0.1
2.481307,1.306887,0.75106525,0.60104406,0.5568263,0.54570377,0.015986232,0.0086571835,0.005113756,0.004339885,0.0040947977,0.0040044356,0.004550975,0.002446909,0.0015784418,0.001272937,0.0011997146,0.0011814585,0.0055859545,0.0030222517,0.0016128061,0.0012922287,0.0011995833,0.0011773086,0.012365356,0.006653056,0.003967639,0.0034493946,0.0032656319,0.0031887945,196.4113379887787,197.58575811957544,198.1415800014136,198.29160117667146,198.33581896163872,198.34694146141015,0.8464920135890889,0.8538210625566599,0.8573644901636172,0.8581383609879586,0.8583834484817225,0.858473810713639,0.004,0.1
2.4810631,1.3089647,0.7475048,0.59599185,0.5574563,0.54929626,0.015923651,0.00852361,0.0049725487,0.0042034206,0.0039961566,0.003935439,0.0046083927,0.0024910076,0.001565902,0.0012645356,0.0011984112,0.0011802791,0.0055624936,0.0030228295,0.0016156788,0.0012958755,0.0012120054,0.0012074109,0.012281065,0.0064913207,0.0038188144,0.0032991362,0.0031541174,0.0031003424,196.3152504167165,197.48734893045383,198.04880894079614,198.20032188711124,198.23885734207735,198.2470173394549,0.8465385224749298,0.8539385646285337,0.8574896264002564,0.858258754354607,0.8584660183135675,0.8585267359062818,0.006,0.1
2.4696796,1.308312,0.7615307,0.6155914,0.5763925,0.562449,0.015878776,0.008533652,0.0051175915,0.004397066,0.004150913,0.0040517407,0.0045545474,0.0024872776,0.0015797806,0.0012979744,0.0012399304,0.0012136671,0.0055320654,0.003011645,0.0016556035,0.0013244866,0.0012396462,0.0012167086,0.012283404,0.006508706,0.0039489046,0.0034816966,0.003289929,0.0032026086,196.39885355288718,197.56022126150316,198.10700264578497,198.25294186071116,198.29214083367398,198.30608437045848,0.8465688206817296,0.8539139459963345,0.8573300064854421,0.8580505321264801,0.8582966849956002,0.8583958575810694,0.008,0.1
2.4634864,1.3099797,0.74428713,0.58957505,0.54991066,0.53913265,0.015886195,0.008655887,0.0050335396,0.0042705,0.0040428094,0.003948431,0.0045391624,0.0024648285,0.0015644736,0.0012555108,0.0011821301,0.0011625156,0.005561946,0.0030349246,0.0016046208,0.0012813777,0.0011986704,0.001183852,0.012252906,0.006622713,0.0038952227,0.0033969933,0.0032337054,0.0031432456,196.45221399906853,197.60572083821725,198.17141339698264,198.3261254370717,198.36578990125489,198.37656793556192,0.8465841520690274,0.8538144601055802,0.857436807512594,0.8581998470686931,0.8584275378134598,0.8585219162080584,0.01,0.1
2.4596245,1.2854025,0.74805105,0.6015885,0.5585995,0.54950845,0.015810497,0.008467511,0.0050027645,0.004303104,0.0040753926,0.00398119,0.0045799077,0.0024659776,0.0015915023,0.0012958758,0.0012245915,0.001202994,0.005493205,0.0029253005,0.0015935452,0.0012854689,0.001194745,0.001185491,0.012205328,0.0064841313,0.0038493616,0.0034079528,0.0032476229,0.0031605377,196.46605330284376,197.64027533357282,198.17762684562865,198.32408942028758,198.3670784180953,198.37616949263278,0.8467023663565806,0.8540453531595585,0.8575100991347454,0.8582097606111083,0.858437472054432,0.8585316744937472,0.012,0.1
2.4745712,1.2946762,0.75699556,0.60172594,0.5603378,0.54938513,0.01598021,0.008555372,0.005075781,0.0043198094,0.004074592,0.0039764657,0.0045633134,0.002450839,0.0016091086,0.0012922944,0.0012074008,0.0011942458,0.0055774176,0.0029769999,0.0016218581,0.0012912119,0.0012073838,0.0011879107,0.012362124,0.0065815914,0.003917539,0.0034279856,0.003245532,0.0031519216,196.3212541549443,197.50114920766046,198.03882980562514,198.19409940201555,198.23548759798473,198.2464402897223,0.8465027301067756,0.8539275678146084,0.8574071583809134,0.8581631303381444,0.8584083478138934,0.8585064744004491,0.014,0.1
2.483084,1.3142563,0.7534863,0.6000521,0.5567218,0.5460473,0.015803244,0.008522528,0.005082619,0.004346907,0.0040833773,0.004008906,0.004583505,0.0024790291,0.001602746,0.001279809,0.0012041075,0.001184989,0.0055547166,0.0030176323,0.0016038422,0.0012919776,0.0011999012,0.0011776593,0.012151587,0.0064817243,0.0039246413,0.0034578172,0.0032563168,0.003198578,196.42942299856,197.59825046737993,198.15902061614523,198.3124547639502,198.3557850888645,198.3664596617719,0.8466386058049099,0.8539193203373868,0.8573592306778589,0.8580949420313844,0.8583584721102959,0.858432943350839,0.016,0.1
2.4695477,1.3237029,0.75336784,0.59993875,0.55764616,0.54470325,0.015933253,0.008678554,0.0050380984,0.0042685084,0.0040316037,0.0039289067,0.0045642643,0.0025186362,0.0015959493,0.0012760381,0.0011996916,0.0011775838,0.0055399467,0.003034841,0.0016240539,0.0013008912,0.0012108019,0.001188692,0.012333608,0.006623935,0.0038744747,0.003368987,0.003193772,0.0031090642,196.36364759560198,197.50949247808276,198.079827482554,198.23325659409807,198.27554912361398,198.28849201602756,0.8465295218720992,0.8537842209871003,0.8574246762063256,0.858194266348334,0.8584311702170951,0.8585338676964882,0.018000000000000002,0.1
2.479801,1.2929225,0.75118273,0.60117567,0.5640874,0.55578506,0.015985321,0.008533716,0.00504117,0.004294445,0.004065562,0.0039877784,0.004559878,0.0024730265,0.001596563,0.0012867706,0.0012169481,0.0012016873,0.0055693784,0.0029606547,0.0016185303,0.0012916201,0.0012195184,0.0012053312,0.012347072,0.0065475395,0.003876448,0.0034009037,0.0032274618,0.0031569323,196.39759941107604,197.58447792291466,198.12621754133528,198.2762246353311,198.31331293425072,198.32161534529752,0.846485936126851,0.8539375410675467,0.8574300872607029,0.858176813197909,0.8584056956306059,0.8584834795243852,0.02,0.1
